111111111	1234
987654321	4321
325453877	5113
874397426	2423
544056088	2343
412324869	4292
402608790	6290
670338055	1126
453773539	4213
991926251	8155
976446819	4076
453439968	5853
184955947	7620
371749300	3091
372750813	5516
725846717	4082
954772946	2594
749682195	1372
293738284	1067
360332591	7928
718707857	5881
118181336	8421
233254549	1939
238262705	2759
958985134	2672
864657692	4987
110392619	8312
243172063	6125
584067155	7780
509850208	2101
872835726	7755
220526825	7447
405787039	1893
181176038	3968
107850102	3920
779121304	4790
180706750	6841
139691884	3581
697416533	6224
225234552	4198
945435863	2615
529503019	7747
405358883	6472
517407639	7298
836137273	1030
530528543	6663
459254350	7997
704752935	1006
569442788	8628
103267859	1518
975387379	2120
295889711	5615
